age,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,deposit
33,married,tertiary,no,882,no,no,39,1,151,3,failure,no
33,married,secondary,no,3444,yes,no,144,1,91,4,failure,yes
36,married,tertiary,no,0,yes,no,140,1,143,3,failure,yes
56,married,secondary,no,589,yes,no,518,1,147,2,success,yes
51,single,secondary,no,3132,no,no,449,1,176,1,failure,no
33,divorced,secondary,no,1005,yes,no,175,1,174,2,failure,no
34,married,tertiary,no,899,yes,no,114,1,170,3,failure,yes
30,married,secondary,no,873,yes,no,119,1,167,3,success,no
30,single,tertiary,no,1243,yes,no,86,1,174,1,failure,no
44,married,tertiary,no,1631,yes,no,81,1,195,2,failure,no
51,divorced,tertiary,no,119,no,no,200,1,165,2,failure,no
51,married,secondary,no,58,yes,no,79,1,129,2,failure,no
44,married,tertiary,no,6203,yes,yes,58,1,188,1,failure,no
34,single,secondary,no,105,yes,no,303,1,196,2,failure,no
49,married,tertiary,no,1533,no,no,324,1,172,1,failure,no
47,married,tertiary,no,228,yes,no,80,1,118,1,failure,no
40,single,secondary,no,1623,yes,no,161,1,167,2,failure,no
47,married,secondary,no,1484,no,no,297,1,119,3,failure,no
54,single,secondary,no,198,yes,yes,120,1,171,2,failure,no
48,divorced,secondary,no,295,yes,no,123,1,164,2,success,no
45,married,secondary,no,1477,yes,no,75,1,132,1,failure,no
39,married,secondary,no,401,yes,no,396,1,129,2,failure,no
39,married,primary,no,3324,no,no,96,1,131,1,failure,no
37,married,tertiary,yes,0,no,no,44,1,123,2,failure,no
49,married,tertiary,no,64,no,no,208,1,159,1,success,no
43,married,secondary,no,1865,yes,no,155,1,186,1,failure,no
50,married,secondary,no,633,no,yes,302,1,111,6,failure,no
56,married,secondary,no,2749,yes,yes,38,1,172,2,failure,no
51,married,tertiary,no,209,no,no,130,1,111,2,failure,no
50,single,secondary,no,246,yes,no,270,1,123,2,failure,no
45,married,secondary,no,1415,yes,no,483,1,116,1,failure,no
40,divorced,secondary,no,5766,yes,yes,68,2,173,1,failure,no
30,married,tertiary,no,101,yes,no,348,1,123,1,failure,no
