list,yr_built,yr_renovated,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade
20150218,1987,0,510000.0,3,2.0,1680,8080,1.0,0,0,3,8
20140512,2001,0,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11
20140627,1995,0,257500.0,3,2.25,1715,6819,2.0,0,0,3,7
20150312,2003,0,323000.0,3,2.5,1890,6560,2.0,0,0,3,7
20141007,1977,0,400000.0,3,1.75,1370,9680,1.0,0,0,4,7
20150124,1979,0,650000.0,4,3.0,2950,5000,2.0,0,3,3,9
20140731,1994,0,395000.0,3,2.0,1890,14040,2.0,0,0,3,7
20140703,1995,0,285000.0,5,2.5,2270,6300,2.0,0,0,3,8
20140516,1985,0,252700.0,2,1.5,1070,9643,1.0,0,0,3,7
20141120,1985,0,329000.0,3,2.25,2450,6500,2.0,0,0,4,8
20150302,2005,0,719000.0,4,2.5,2570,7173,2.0,0,0,3,8
20141110,2003,0,580500.0,3,2.5,2320,3980,2.0,0,0,3,8
20141201,2005,0,280000.0,2,1.5,1190,1265,3.0,0,0,3,7
20141203,1981,0,322500.0,4,2.75,2060,6659,1.0,0,0,3,7
20140620,1996,0,605000.0,4,2.5,2620,7553,2.0,0,0,3,8
20140715,2000,0,625000.0,4,2.5,2570,5520,2.0,0,0,3,9
20140811,1984,0,775000.0,4,2.25,4220,24186,1.0,0,0,3,8
20140707,2014,0,861990.0,5,2.75,3595,5639,2.0,0,0,3,9
20140718,2003,0,488000.0,3,2.5,3160,13603,2.0,0,0,3,8
20140716,1981,0,785000.0,4,2.5,2290,13416,2.0,0,0,4,9
20150205,1981,0,585000.0,2,1.75,1980,8550,1.0,0,0,3,7
20140512,1995,0,885000.0,4,2.5,2830,5000,2.0,0,0,3,9
20140819,2008,0,292500.0,4,2.5,2250,4495,2.0,0,0,3,7
20150407,2003,0,301000.0,3,2.5,2420,4750,2.0,0,0,3,8
20150223,1991,0,430000.0,4,3.0,1850,9976,2.0,0,0,3,8
20141021,1973,0,505000.0,3,1.75,2519,8690,2.0,0,0,5,8
20141207,2014,0,549000.0,3,1.75,1540,1044,3.0,0,0,3,8
20140603,1979,0,425000.0,3,2.25,1660,6000,1.0,0,0,3,7
20140909,1989,0,975000.0,4,2.5,2720,11049,2.0,0,0,3,10
20141009,2005,0,287000.0,4,2.5,2240,4648,2.0,0,0,3,7
20140912,1973,0,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11
20150105,1972,0,325000.0,3,2.0,1260,5612,1.0,0,0,4,7
20140710,2005,0,360000.0,4,2.5,2380,5000,2.0,0,0,3,8
20141105,1986,0,832500.0,4,4.0,3430,35102,2.0,0,0,4,10
20150323,2002,0,720000.0,4,2.5,3450,39683,2.0,0,0,3,10
20141202,2003,0,390000.0,3,2.5,2350,5100,2.0,0,0,3,8
20141222,1992,0,360000.0,4,2.5,1900,5889,2.0,0,0,3,7
20140618,2006,0,461000.0,3,3.25,2770,6278,2.0,0,0,3,9
20140519,1979,0,215000.0,2,2.25,1610,2040,2.0,0,0,4,7
20140904,2006,0,335000.0,2,1.75,1030,1066,2.0,0,0,3,7
20140522,1988,0,243500.0,4,2.5,1980,7403,2.0,0,0,3,7
20150311,2001,0,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10
20140912,1975,0,199000.0,4,1.5,1160,6400,1.0,0,0,4,7
20140711,1980,0,314000.0,3,1.75,1810,41800,1.0,0,0,5,7
20140516,1992,0,437500.0,3,2.5,2320,36847,2.0,0,2,3,9
20141212,1983,0,699950.0,3,2.25,2190,107593,2.0,0,0,4,8
20150402,1978,0,375000.0,3,2.5,2340,10005,1.0,0,0,4,8
20140723,1985,0,188500.0,2,1.75,1240,2493,1.0,0,0,4,8
20150305,1991,0,680000.0,4,2.5,3140,28037,2.0,0,0,4,10
20140725,1984,0,597750.0,4,2.5,2310,9624,2.0,0,0,3,8
20140916,1980,0,272500.0,3,1.75,1540,12600,1.0,0,0,4,7
20141124,1971,0,329950.0,3,1.75,2080,5969,1.0,0,2,3,7
20141028,2001,0,480000.0,4,2.5,3230,16171,2.0,0,3,3,9
20140626,2010,0,518500.0,3,3.5,1590,1102,3.0,0,0,3,8
20141119,1987,0,391500.0,3,2.0,1450,9132,1.0,0,0,3,7
20140618,1990,0,770000.0,3,2.25,2910,10204,2.0,0,0,3,9
20140717,1978,0,260000.0,4,2.25,2160,8811,1.0,0,0,3,8
