title,release,revenue,budget,rating,genres,country
Toy Story,1995-10-30,373554033.0,30000000.0,7.7,Animation,US
Jumanji,1995-12-15,262797249.0,65000000.0,6.9,Adventure,US
Waiting to Exhale,1995-12-22,81452156.0,16000000.0,6.1,Comedy,US
Heat,1995-12-15,187436818.0,60000000.0,7.7,Action,US
Sudden Death,1995-12-22,64350171.0,35000000.0,5.5,Action,US
GoldenEye,1995-11-16,352194034.0,58000000.0,6.6,Adventure,UK
The American President,1995-11-17,107879496.0,62000000.0,6.5,Comedy,US
Nixon,1995-12-22,13681765.0,44000000.0,7.1,History,US
Cutthroat Island,1995-12-22,10017322.0,98000000.0,5.7,Action,France
Casino,1995-11-22,116112375.0,52000000.0,7.8,Drama,France
Sense and Sensibility,1995-12-13,135000000.0,16500000.0,7.2,Drama,UK
Four Rooms,1995-12-09,4300000.0,4000000.0,6.5,Crime,US
Ace Ventura: When Nature Calls,1995-11-10,212385533.0,30000000.0,6.1,Crime,US
Money Train,1995-11-21,35431113.0,60000000.0,5.4,Action,US
Get Shorty,1995-10-20,115101622.0,30250000.0,6.4,Comedy,US
Assassins,1995-10-06,30303072.0,50000000.0,6.0,Action,France
Leaving Las Vegas,1995-10-27,49800000.0,3600000.0,7.1,Drama,US
Now and Then,1995-10-20,27400000.0,12000000.0,6.6,Comedy,US
The City of Lost Children,1995-05-16,1738611.0,18000000.0,7.6,Fantasy,France
Twelve Monkeys,1995-12-29,168840000.0,29500000.0,7.4,Science Fiction,US
Dead Man Walking,1995-12-29,39363635.0,11000000.0,7.3,Drama,US
Mortal Kombat,1995-08-18,122195920.0,18000000.0,5.4,Action,US
To Die For,1995-05-20,21284514.0,20000000.0,6.7,Fantasy,US
How To Make An American Quilt,1995-10-06,23574130.0,10000000.0,6.5,Drama,US
Se7en,1995-09-22,327311859.0,33000000.0,8.1,Crime,US
Pocahontas,1995-06-14,346079773.0,55000000.0,6.7,Adventure,US
The Usual Suspects,1995-07-19,23341568.0,6000000.0,8.1,Drama,US
Mighty Aphrodite,1995-09-13,6700000.0,15000000.0,6.7,Comedy,US
Friday,1995-04-26,28215918.0,3500000.0,7.0,Comedy,US
From Dusk Till Dawn,1996-01-19,25836616.0,19000000.0,6.9,Horror,US
Fair Game,1995-11-03,11534477.0,50000000.0,4.1,Action,US
Things to Do in Denver When You're Dead,1995-12-01,529766.0,8000000.0,6.7,Drama,US
White Squall,1996-02-02,10300000.0,38000000.0,6.3,Action,US
Nick of Time,1995-11-22,8175346.0,8169363.0,6.1,Crime,US
Mary Reilly,1996-02-23,12379402.0,47000000.0,5.7,Drama,US
Vampire in Brooklyn,1995-10-26,19800000.0,14000000.0,4.5,Comedy,US
Broken Arrow,1996-02-09,150270147.0,50000000.0,5.7,Action,US
Bottle Rocket,1996-02-21,560069.0,7000000.0,6.8,Comedy,US
Happy Gilmore,1996-02-16,41205099.0,12000000.0,6.5,Comedy,US
The Bridges of Madison County,1995-05-28,182016617.0,24000000.0,7.3,Drama,US
Braveheart,1995-05-24,210000000.0,72000000.0,7.7,Action,US
Taxi Driver,1976-02-07,28262574.0,1300000.0,8.1,Crime,US
Boomerang,1992-06-30,70100000.0,40000000.0,5.4,Comedy,US
Flirting with Disaster,1996-03-22,14702438.0,7000000.0,6.3,Comedy,US
Jade,1995-10-13,9851610.0,50000000.0,5.1,Action,US
The Birdcage,1996-03-08,185260553.0,31000000.0,6.7,Comedy,US
Bad Boys,1995-04-07,141407024.0,19000000.0,6.5,Action,US
Apollo 13,1995-06-30,355237933.0,52000000.0,7.3,Drama,US
Rob Roy,1995-04-13,31596911.0,28000000.0,6.5,Adventure,UK
Batman Forever,1995-06-16,336529144.0,100000000.0,5.2,Action,UK
Blue in the Face,1995-09-15,1275000.0,2000000.0,6.8,Comedy,US
Casper,1995-05-26,287928194.0,50000000.0,6.0,Fantasy,US
Clockers,1995-09-15,13071518.0,25000000.0,6.8,Mystery,US
Congo,1995-06-09,152022101.0,50000000.0,5.0,Action,US
Crimson Tide,1995-05-12,157387195.0,53000000.0,7.0,Action,US
Desperado,1995-08-25,25405445.0,7000000.0,6.8,Thriller,US
Devil in a Blue Dress,1995-09-15,16140822.0,27000000.0,6.3,Drama,US
Die Hard: With a Vengeance,1995-05-19,366101666.0,90000000.0,6.9,Action,US
First Knight,1995-07-07,127600435.0,55000000.0,5.9,Action,US
Hackers,1995-09-14,7563728.0,20000000.0,6.2,Action,US
Judge Dredd,1995-06-30,113493481.0,90000000.0,5.4,Science Fiction,US
Kids,1995-07-28,7412216.0,1500000.0,6.8,Drama,US
Living in Oblivion,1995-01-20,1148752.0,500000.0,7.2,Drama,US
Mallrats,1995-10-20,2122561.0,6000000.0,6.8,Romance,US
The Net,1995-07-28,110627965.0,22000000.0,5.6,Crime,US
The Scarlet Letter,1995-10-13,10382407.0,50000000.0,5.5,Drama,US
Showgirls,1995-09-22,20350754.0,45000000.0,4.9,Drama,France
Species,1995-07-07,113374103.0,35000000.0,5.5,Science Fiction,US
Strange Days,1995-10-13,7959291.0,42000000.0,6.8,Crime,US
Under Siege 2: Dark Territory,1995-07-13,104324083.0,60000000.0,5.6,Action,US
A Walk in the Clouds,1995-08-11,50012507.0,20000000.0,6.5,Drama,US
Waterworld,1995-07-28,264218220.0,175000000.0,5.9,Adventure,US
Billy Madison,1995-02-10,26488734.0,10000000.0,6.2,Comedy,US
Boys on the Side,1995-02-03,23450000.0,21000000.0,6.3,Comedy,France
Don Juan DeMarco,1994-10-01,22200000.0,25000000.0,6.3,Romance,US
Disclosure,1994-12-09,214015089.0,55000000.0,5.9,Drama,US
Dumb and Dumber,1994-12-16,247275374.0,16000000.0,6.5,Comedy,US
Ed Wood,1994-09-27,5887457.0,18000000.0,7.3,Comedy,US
Hideaway,1995-03-03,12201255.0,15000000.0,5.0,Drama,US
Hoop Dreams,1994-09-12,7830611.0,700000.0,7.7,Documentary,US
Interview with the Vampire,1994-11-11,223664608.0,60000000.0,7.2,Horror,US
Junior,1994-11-22,37000000.0,60000000.0,4.7,Comedy,US
Star Wars,1977-05-25,775398007.0,11000000.0,8.1,Adventure,US
Legends of the Fall,1994-12-16,160638883.0,30000000.0,7.2,Adventure,US
Losing Isaiah,1995-03-17,7603766.0,17000000.0,6.4,Drama,US
Mary Shelley's Frankenstein,1994-11-04,112006296.0,45000000.0,6.1,Drama,UK
Nell,1994-12-23,106683817.0,31000000.0,6.1,Drama,US
Natural Born Killers,1994-08-25,50282766.0,34000000.0,6.9,Crime,US
Outbreak,1995-03-10,189859560.0,50000000.0,6.4,Action,US
Leon: The Professional,1994-09-14,45284974.0,16000000.0,8.2,Thriller,France
Pulp Fiction,1994-09-10,213928762.0,8000000.0,8.3,Thriller,US
Prêt-à-Porter,1994-12-23,11300653.0,15000000.0,5.3,Drama,US
